<<<<<<< HEAD
MsgID.LOCAL_POSITION,78971.1480000,0.0546108,-2.2618277,-122.9534607
MsgID.LOCAL_VELOCITY,78971.1480000,0.0733374,-1.5793824,-37.2804680
MsgID.GLOBAL_POSITION,0.0000000,-122.3974797,37.7924811,131.5560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0600000,-1.4800000,-32.6900000
MsgID.LOCAL_POSITION,78971.3980000,0.1242366,-2.6412811,-131.5567474
MsgID.LOCAL_VELOCITY,78971.3980000,0.0689458,-1.4848069,-32.6980972
MsgID.GLOBAL_POSITION,0.0000000,-122.3974837,37.7924798,139.0700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0600000,-1.3900000,-28.3800000
MsgID.LOCAL_POSITION,78971.6480000,-0.0126227,-3.0000131,-139.1121826
MsgID.LOCAL_VELOCITY,78971.6480000,0.0647848,-1.3951966,-28.3563042
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974875,37.7924810,145.6190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0600000,-1.3100000,-24.2700000
MsgID.LOCAL_POSITION,78971.8980000,0.1189879,-3.3365409,-145.6196747
MsgID.LOCAL_VELOCITY,78971.8980000,0.0608750,-1.3109947,-24.2765503
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3974913,37.7924823,150.9340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0500000,-1.2300000
=======
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924796,0.0750000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,855.2840000,-0.0380481,-0.0212088,-0.0757998
MsgID.LOCAL_VELOCITY,855.2840000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924794,0.0810000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,855.5340000,-0.0592697,-0.0310048,-0.0815310
MsgID.LOCAL_VELOCITY,855.5340000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974518,37.7924810,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,855.7840000,0.1132106,-0.1613677,-0.0824679
MsgID.LOCAL_VELOCITY,855.7840000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924804,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,856.0340000,0.0352233,-0.1339622,-0.0824969
MsgID.LOCAL_VELOCITY,856.0340000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924796,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,856.2840000,-0.0344348,0.1030303,-0.0824995
MsgID.LOCAL_VELOCITY,856.2840000,-0.0000116,-0.0000109,0.0000071
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924799,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,856.5340000,-0.0002333,-0.0033715,-0.0824995
MsgID.LOCAL_VELOCITY,856.5340000,-0.0000180,-0.0000044,0.0000125
MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924799,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,856.7840000,-0.0006053,-0.1192308,-0.0824995
MsgID.LOCAL_VELOCITY,856.7840000,-0.0000089,-0.0000005,0.0000156
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924791,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,857.0350000,-0.1062348,0.0039582,-0.0824996
MsgID.LOCAL_VELOCITY,857.0350000,-0.0000162,-0.0000205,0.0000054
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924788,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,857.2850000,-0.1255503,-0.1530486,-0.0825097
MsgID.LOCAL_VELOCITY,857.2850000,0.0000181,-0.0000112,0.0000155
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924805,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,857.5350000,0.0763827,-0.1265264,-0.0827159
MsgID.LOCAL_VELOCITY,857.5350000,0.0000213,-0.0000117,0.0000121
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924805,0.0830000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,857.7850000,0.0633110,0.0116922,-0.0831535
MsgID.LOCAL_VELOCITY,857.7850000,0.0000063,-0.0000195,0.0000092
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924794,0.0830000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,858.0350000,-0.0718363,0.0318972,-0.0834615
MsgID.LOCAL_VELOCITY,858.0350000,0.0000056,-0.0000177,0.0000170
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924786,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,858.2850000,-0.1529899,-0.1220990,-0.0827529
MsgID.LOCAL_VELOCITY,858.2850000,0.0000115,-0.0000051,0.0000105
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924797,0.0800000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,858.5350000,-0.0092352,-0.0055372,-0.0797876
MsgID.LOCAL_VELOCITY,858.5350000,0.0000099,-0.0000147,0.0000090
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924802,0.0740000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,858.7850000,0.0276242,0.1005187,-0.0747041
MsgID.LOCAL_VELOCITY,858.7850000,-0.0000047,-0.0000187,0.0000047
MsgID.GLOBAL_POSITION,0.0000000,-122.3974512,37.7924799,0.0670000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,859.0360000,-0.0002199,-0.1289645,-0.0654966
MsgID.LOCAL_VELOCITY,859.0360000,0.0000129,-0.0000160,0.0000145
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974518,37.7924800,0.0520000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,859.2860000,0.0015667,-0.1611389,-0.0523002
MsgID.LOCAL_VELOCITY,859.2860000,0.0000049,0.0000066,0.0000069
MsgID.GLOBAL_POSITION,0.0000000,-122.3974511,37.7924803,0.0480000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.5400000
MsgID.LOCAL_POSITION,859.5360000,0.0364567,-0.0891333,-0.0593589
MsgID.LOCAL_VELOCITY,859.5360000,-0.0000432,0.0004579,-0.7299171
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924793,0.4060000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-2.6600000
MsgID.LOCAL_POSITION,859.7860000,-0.0947050,0.0497781,-0.4766802
MsgID.LOCAL_VELOCITY,859.7860000,-0.0016179,-0.0120530,-2.8965445
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924788,1.3210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0300000,-4.1200000
MsgID.LOCAL_POSITION,860.0360000,-0.1286390,0.0003362,-1.3234090
MsgID.LOCAL_VELOCITY,860.0360000,0.0163561,-0.0347345,-4.1305594
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924800,2.3010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.0200000,-4.4600000
MsgID.LOCAL_POSITION,860.2860000,0.0112786,0.0601332,-2.4217670
MsgID.LOCAL_VELOCITY,860.2860000,0.0275975,-0.0292898,-4.4992151
MsgID.GLOBAL_POSITION,0.0000000,-122.3974472,37.7924811,14.4960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,1.0500000,-80.3500000
MsgID.LOCAL_POSITION,860.5360000,0.1288622,0.2447577,-14.4962854
MsgID.LOCAL_VELOCITY,860.5360000,0.0157761,1.0559030,-80.3554840
MsgID.GLOBAL_POSITION,0.0000000,-122.3974475,37.7924817,32.5130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0300000,0.2300000,-74.0000000
MsgID.LOCAL_POSITION,860.7860000,0.1800150,0.2079025,-34.2794952
MsgID.LOCAL_VELOCITY,860.7860000,0.0588457,-0.1297857,-73.3515015
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924802,51.2690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-1.1400000,-65.8600000
MsgID.LOCAL_POSITION,861.0360000,0.0290229,-0.0100420,-51.3357315
MsgID.LOCAL_VELOCITY,861.0360000,0.0120913,-1.1488155,-65.8434982
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924804,65.8700000
MsgID.LOCAL_VELOCITY,0.0000000,-1.0500000,1.5600000,-58.9500000
MsgID.LOCAL_POSITION,861.2860000,0.0380169,0.1748151,-67.0749130
MsgID.LOCAL_VELOCITY,861.2860000,-1.0553570,1.5607127,-58.4511681
MsgID.GLOBAL_POSITION,0.0000000,-122.3974435,37.7924774,80.8300000
MsgID.LOCAL_VELOCITY,0.0000000,-0.9900000,1.4600000,-52.5800000
MsgID.LOCAL_POSITION,861.5370000,-0.2814551,0.5748439,-80.8308945
MsgID.LOCAL_VELOCITY,861.5370000,-0.9920368,1.4670719,-52.5895844
MsgID.GLOBAL_POSITION,0.0000000,-122.3974405,37.7924739,92.5710000
MsgID.LOCAL_VELOCITY,0.0000000,-0.9300000,1.3800000,-47.3600000
MsgID.LOCAL_POSITION,861.7870000,-0.6923571,0.8745325,-93.4232712
MsgID.LOCAL_VELOCITY,861.7870000,-0.9313508,1.3773265,-46.9718552
MsgID.GLOBAL_POSITION,0.0000000,-122.3974349,37.7924727,104.3300000
MsgID.LOCAL_VELOCITY,0.0000000,-0.8700000,1.2900000,-41.8400000
MsgID.LOCAL_POSITION,862.0370000,-0.8058750,1.3421127,-104.5400925
MsgID.LOCAL_VELOCITY,862.0370000,-0.8749235,1.2938793,-41.7484093
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974322,37.7924711,113.7780000
MsgID.LOCAL_VELOCITY,0.0000000,-0.8200000,1.2200000,-37.1500000
MsgID.LOCAL_POSITION,862.2870000,-0.9977538,1.5958076,-114.2801590
>>>>>>> 9a425b1a87633760cd28a26a5f24d71ab92593e8
